,file_name,word_count,sent_count,paragraph_count
0,61.txt,1190,54,10
1,22.txt,1737,82,3
2,15.txt,3952,187,4
3,51.txt,16287,583,30
4,41.txt,2941,160,5
5,69.txt,4522,161,11
6,5.txt,3111,192,4
7,52.txt,891,39,2
8,58.txt,596,45,2
9,82.txt,2774,110,82
10,90.txt,3209,121,6
11,32.txt,5957,332,5
12,45.txt,5118,263,5
13,27.txt,3369,146,4
14,80.txt,2500,84,11
15,37.txt,6014,229,7
16,3.txt,2740,160,4
17,64.txt,5454,190,6
18,65.txt,2238,117,3
19,31.txt,3698,164,4
20,14.txt,1649,78,4
21,66.txt,3504,96,12
22,54.txt,5769,277,4
23,6.txt,2840,192,3
24,81.txt,4045,172,64
25,57.txt,631,32,2
26,53.txt,4778,124,5
27,12.txt,2158,95,4
28,39.txt,3579,140,3
29,46.txt,8248,430,11
30,74.txt,1072,38,6
31,76.txt,2975,101,38
32,60.txt,2073,80,3
33,49.txt,6674,188,6
34,29.txt,6338,237,6
35,34.txt,1277,70,4
36,40.txt,2842,97,3
37,28.txt,8856,331,7
38,56.txt,1060,65,4
39,73.txt,3775,149,15
40,70.txt,5188,187,26
41,55.txt,3482,100,6
42,88.txt,527,24,12
43,17.txt,2071,131,4
44,71.txt,1835,81,4
45,59.txt,4070,117,4
46,18.txt,5447,221,4
47,47.txt,759,30,2
48,62.txt,3046,119,4
49,11.txt,615,26,3
50,72.txt,7799,326,80
51,48.txt,2597,124,5
52,16.txt,1635,72,3
53,23.txt,1522,58,2
54,50.txt,1975,87,2
55,2.txt,2926,160,4
56,63.txt,1697,67,3
57,21.txt,14370,650,14
58,77.txt,703,24,3
59,19.txt,6007,195,6
60,20.txt,3080,189,4
61,68.txt,8439,294,32
62,7.txt,2543,120,4
63,93.txt,7799,326,80
64,83.txt,934,41,6
65,9.txt,2943,85,3
66,87.txt,3296,152,11
67,67.txt,10456,300,34
68,78.txt,3676,138,11
69,92.txt,1835,81,4
70,13.txt,1398,76,8
71,43.txt,593,30,2
72,89.txt,2011,105,4
73,8.txt,3673,190,3
74,1.txt,3534,211,5
75,84.txt,1233,56,10
76,85.txt,5889,178,22
77,26.txt,5621,190,5
78,25.txt,1715,57,3
79,38.txt,5834,246,5
80,10.txt,3630,123,4
81,75.txt,931,65,4
82,30.txt,3115,147,3
83,42.txt,855,51,6
84,44.txt,3413,190,4
85,4.txt,2348,150,3
86,79.txt,3586,157,10
87,24.txt,13140,580,15
88,33.txt,2651,128,4
89,86.txt,2466,108,20
90,91.txt,1405,60,10
91,35.txt,876,34,2
92,36.txt,1452,77,2
